"","org","category","type","expense name","description","expectedattendees","event off campus","collabhso","collabrso","speaker","eventtotal","eventsplanned","actual","attendactual","eventsactual","externalreceived","totalrollover","date","amount"
"65","Black Action in Public Policy Studies (BAPPS)","speaker","miscellaneous","Social Event","In response to its membership, BAPPS will be hosting more social events this quarter designed to strengthen and reinvigorate our community. This will bolster the camraderie between graduating students and matriculating students while forming lasting relationships. We also endeavor to support community events and initiatives that are reflective of our diasporic population. As such, our first social event will be an outing to a theater show. The shows we are choosing from are playing at small theaters that feature Black stories. We would like to cover the costs of tickets for 30 students to attend. Our social event last quarter, an Ice Skating Day, had 25 attendees and we expect to gain at leats 5 more this quarter given reduced scheduling conflicts across the first and second year cohorts.",30,"TRUE","FALSE","FALSE","FALSE",450,9,6309.54,NA,10,15963.24,16138.22,NA,450
"66","Black Action in Public Policy Studies (BAPPS)","speaker","refreshments","Black Policy Review  (BPR) Policy Talk","The Black Policy Review will launch its second annual publication in May. To support this launch, we intend to host a policy talk centered around the theme of the publication and on a few select pieces in the publication. We will bring in professionals who will share their experiences in the policy world related to the theme. Additinoally, we will have conversations between the authors of BPR pieces and these professionals to highlight the cross-cutting themes of the publications and the applicability of scholarly writing to the everyday experienes of policy professionals. This event will be open to the BAPPS community, our partner organizations in the undergraduate community (2 other student publications), the broader Harris community, and our vast alumni network. We will provide light refreshments and alcoholic beverages at this event. Unfortunately, BAPPS was denied any support from the RSO Catering Fund this quarter (money ran out before our applications were reviewed), so we will be financing this event entirely from our budget.",20,"TRUE","FALSE","FALSE","TRUE",200,9,6309.54,NA,10,15963.24,16138.22,NA,200
"67","Black Action in Public Policy Studies (BAPPS)","speaker","supplies","Black Policy Review  (BPR) Policy Talk","The Black Policy Review will launch its second annual publication in May. To support this launch, we intend to host a policy talk centered around the theme of the publication and on a few select pieces in the publication. We will bring in professionals who will share their experiences in the policy world related to the theme. Additinoally, we will have conversations between the authors of BPR pieces and these professionals to highlight the cross-cutting themes of the publications and the applicability of scholarly writing to the everyday experienes of policy professionals. This event will be open to the BAPPS community, our partner organizations in the undergraduate community (2 other student publications), the broader Harris community, and our vast alumni network. We will provide light refreshments and alcoholic beverages at this event. Unfortunately, BAPPS was denied any support from the RSO Catering Fund this quarter (money ran out before our applications were reviewed), so we will be financing this event entirely from our budget.",20,"TRUE","FALSE","FALSE","TRUE",200,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"68","Black Action in Public Policy Studies (BAPPS)","speaker","equipment","Black Policy Review  (BPR) Policy Talk","The Black Policy Review will launch its second annual publication in May. To support this launch, we intend to host a policy talk centered around the theme of the publication and on a few select pieces in the publication. We will bring in professionals who will share their experiences in the policy world related to the theme. Additinoally, we will have conversations between the authors of BPR pieces and these professionals to highlight the cross-cutting themes of the publications and the applicability of scholarly writing to the everyday experienes of policy professionals. This event will be open to the BAPPS community, our partner organizations in the undergraduate community (2 other student publications), the broader Harris community, and our vast alumni network. We will provide light refreshments and alcoholic beverages at this event. Unfortunately, BAPPS was denied any support from the RSO Catering Fund this quarter (money ran out before our applications were reviewed), so we will be financing this event entirely from our budget.",20,"TRUE","FALSE","FALSE","TRUE",200,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"69","Black Action in Public Policy Studies (BAPPS)","speaker","services","Black Policy Review  (BPR) Policy Talk","The Black Policy Review will launch its second annual publication in May. To support this launch, we intend to host a policy talk centered around the theme of the publication and on a few select pieces in the publication. We will bring in professionals who will share their experiences in the policy world related to the theme. Additinoally, we will have conversations between the authors of BPR pieces and these professionals to highlight the cross-cutting themes of the publications and the applicability of scholarly writing to the everyday experienes of policy professionals. This event will be open to the BAPPS community, our partner organizations in the undergraduate community (2 other student publications), the broader Harris community, and our vast alumni network. We will provide light refreshments and alcoholic beverages at this event. Unfortunately, BAPPS was denied any support from the RSO Catering Fund this quarter (money ran out before our applications were reviewed), so we will be financing this event entirely from our budget.",20,"TRUE","FALSE","FALSE","TRUE",200,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"70","Black Action in Public Policy Studies (BAPPS)","speaker","miscellaneous","Black Policy Review  (BPR) Policy Talk","The Black Policy Review will launch its second annual publication in May. To support this launch, we intend to host a policy talk centered around the theme of the publication and on a few select pieces in the publication. We will bring in professionals who will share their experiences in the policy world related to the theme. Additinoally, we will have conversations between the authors of BPR pieces and these professionals to highlight the cross-cutting themes of the publications and the applicability of scholarly writing to the everyday experienes of policy professionals. This event will be open to the BAPPS community, our partner organizations in the undergraduate community (2 other student publications), the broader Harris community, and our vast alumni network. We will provide light refreshments and alcoholic beverages at this event. Unfortunately, BAPPS was denied any support from the RSO Catering Fund this quarter (money ran out before our applications were reviewed), so we will be financing this event entirely from our budget.",20,"TRUE","FALSE","FALSE","TRUE",200,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"71","Black Action in Public Policy Studies (BAPPS)","speaker","refreshments","Afro World Policy Conference","The Afro World Policy Conference (AWPC) is a first of its kind policy conference focused on Black issues across the diaspora. This Conference will pull together experts, practicioners, and students to discuss topics ranging from global conflict, misogynoir, gun violence, and democratic transition. AWPC will be one-day, ticketed, and held in the Keller Center. This conference is open to all BAPPS members, alumni, the broader Harris community, and the larger University community. We have secured support for this conference from various departments on campus. There will be numerous speakers, about 50, and our request is to support speaker honorariums of $100 for 10 speakers. In total, the event costs $21,775 and we have secured $12,500 in grant support for the event. We intend to sell tickets but are charging low prices to ensure that students have equitable access.",120,"FALSE","FALSE","FALSE","TRUE",2000,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"72","Black Action in Public Policy Studies (BAPPS)","speaker","supplies","Afro World Policy Conference","The Afro World Policy Conference (AWPC) is a first of its kind policy conference focused on Black issues across the diaspora. This Conference will pull together experts, practicioners, and students to discuss topics ranging from global conflict, misogynoir, gun violence, and democratic transition. AWPC will be one-day, ticketed, and held in the Keller Center. This conference is open to all BAPPS members, alumni, the broader Harris community, and the larger University community. We have secured support for this conference from various departments on campus. There will be numerous speakers, about 50, and our request is to support speaker honorariums of $100 for 10 speakers. In total, the event costs $21,775 and we have secured $12,500 in grant support for the event. We intend to sell tickets but are charging low prices to ensure that students have equitable access.",120,"FALSE","FALSE","FALSE","TRUE",2000,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"73","Black Action in Public Policy Studies (BAPPS)","speaker","equipment","Afro World Policy Conference","The Afro World Policy Conference (AWPC) is a first of its kind policy conference focused on Black issues across the diaspora. This Conference will pull together experts, practicioners, and students to discuss topics ranging from global conflict, misogynoir, gun violence, and democratic transition. AWPC will be one-day, ticketed, and held in the Keller Center. This conference is open to all BAPPS members, alumni, the broader Harris community, and the larger University community. We have secured support for this conference from various departments on campus. There will be numerous speakers, about 50, and our request is to support speaker honorariums of $100 for 10 speakers. In total, the event costs $21,775 and we have secured $12,500 in grant support for the event. We intend to sell tickets but are charging low prices to ensure that students have equitable access.",120,"FALSE","FALSE","FALSE","TRUE",2000,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"74","Black Action in Public Policy Studies (BAPPS)","speaker","services","Afro World Policy Conference","The Afro World Policy Conference (AWPC) is a first of its kind policy conference focused on Black issues across the diaspora. This Conference will pull together experts, practicioners, and students to discuss topics ranging from global conflict, misogynoir, gun violence, and democratic transition. AWPC will be one-day, ticketed, and held in the Keller Center. This conference is open to all BAPPS members, alumni, the broader Harris community, and the larger University community. We have secured support for this conference from various departments on campus. There will be numerous speakers, about 50, and our request is to support speaker honorariums of $100 for 10 speakers. In total, the event costs $21,775 and we have secured $12,500 in grant support for the event. We intend to sell tickets but are charging low prices to ensure that students have equitable access.",120,"FALSE","FALSE","FALSE","TRUE",2000,9,6309.54,NA,10,15963.24,16138.22,NA,2000
"75","Black Action in Public Policy Studies (BAPPS)","speaker","miscellaneous","Afro World Policy Conference","The Afro World Policy Conference (AWPC) is a first of its kind policy conference focused on Black issues across the diaspora. This Conference will pull together experts, practicioners, and students to discuss topics ranging from global conflict, misogynoir, gun violence, and democratic transition. AWPC will be one-day, ticketed, and held in the Keller Center. This conference is open to all BAPPS members, alumni, the broader Harris community, and the larger University community. We have secured support for this conference from various departments on campus. There will be numerous speakers, about 50, and our request is to support speaker honorariums of $100 for 10 speakers. In total, the event costs $21,775 and we have secured $12,500 in grant support for the event. We intend to sell tickets but are charging low prices to ensure that students have equitable access.",120,"FALSE","FALSE","FALSE","TRUE",2000,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"76","Black Action in Public Policy Studies (BAPPS)","speaker","refreshments","Black Policy Review (BPR) Launch Party","The Black Policy Review will launch its second annual publication in May. To support this, we will be hosting a launch party in late May. This event will feature remarks from our Editor in Chief, the President of BAPPS, and our community partners. We intend to invite alumni, professionals in our network (including members of the National Association of Black Journalists), and the broader Harris community to participate in celebrating our publication. We will serve heavy appetizers and alcoholic beverages at this event. We are still determining if the event will be held off campus - this decision is based on our budget. BAPPS was unfortunately unable to secure any support from the RSO Catering Fund, meaning that financing for this event will occur entirely through our own budget.",80,"TRUE","FALSE","FALSE","TRUE",1084,9,6309.54,NA,10,15963.24,16138.22,NA,384
"77","Black Action in Public Policy Studies (BAPPS)","speaker","supplies","Black Policy Review (BPR) Launch Party","The Black Policy Review will launch its second annual publication in May. To support this, we will be hosting a launch party in late May. This event will feature remarks from our Editor in Chief, the President of BAPPS, and our community partners. We intend to invite alumni, professionals in our network (including members of the National Association of Black Journalists), and the broader Harris community to participate in celebrating our publication. We will serve heavy appetizers and alcoholic beverages at this event. We are still determining if the event will be held off campus - this decision is based on our budget. BAPPS was unfortunately unable to secure any support from the RSO Catering Fund, meaning that financing for this event will occur entirely through our own budget.",80,"TRUE","FALSE","FALSE","TRUE",1084,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"78","Black Action in Public Policy Studies (BAPPS)","speaker","equipment","Black Policy Review (BPR) Launch Party","The Black Policy Review will launch its second annual publication in May. To support this, we will be hosting a launch party in late May. This event will feature remarks from our Editor in Chief, the President of BAPPS, and our community partners. We intend to invite alumni, professionals in our network (including members of the National Association of Black Journalists), and the broader Harris community to participate in celebrating our publication. We will serve heavy appetizers and alcoholic beverages at this event. We are still determining if the event will be held off campus - this decision is based on our budget. BAPPS was unfortunately unable to secure any support from the RSO Catering Fund, meaning that financing for this event will occur entirely through our own budget.",80,"TRUE","FALSE","FALSE","TRUE",1084,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"79","Black Action in Public Policy Studies (BAPPS)","speaker","services","Black Policy Review (BPR) Launch Party","The Black Policy Review will launch its second annual publication in May. To support this, we will be hosting a launch party in late May. This event will feature remarks from our Editor in Chief, the President of BAPPS, and our community partners. We intend to invite alumni, professionals in our network (including members of the National Association of Black Journalists), and the broader Harris community to participate in celebrating our publication. We will serve heavy appetizers and alcoholic beverages at this event. We are still determining if the event will be held off campus - this decision is based on our budget. BAPPS was unfortunately unable to secure any support from the RSO Catering Fund, meaning that financing for this event will occur entirely through our own budget.",80,"TRUE","FALSE","FALSE","TRUE",1084,9,6309.54,NA,10,15963.24,16138.22,NA,700
"80","Black Action in Public Policy Studies (BAPPS)","speaker","miscellaneous","Black Policy Review (BPR) Launch Party","The Black Policy Review will launch its second annual publication in May. To support this, we will be hosting a launch party in late May. This event will feature remarks from our Editor in Chief, the President of BAPPS, and our community partners. We intend to invite alumni, professionals in our network (including members of the National Association of Black Journalists), and the broader Harris community to participate in celebrating our publication. We will serve heavy appetizers and alcoholic beverages at this event. We are still determining if the event will be held off campus - this decision is based on our budget. BAPPS was unfortunately unable to secure any support from the RSO Catering Fund, meaning that financing for this event will occur entirely through our own budget.",80,"TRUE","FALSE","FALSE","TRUE",1084,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"81","Black Action in Public Policy Studies (BAPPS)","speaker","refreshments","Identity Policy Series","We will host a community-focused dialogue on the Construction of Black Identity as part of Black History Month Programming. This event will bring in experts from the University community on race and diasporic studies who will present on the construction and presentation of Black identities from a global perspective. Ultimately, this event is to be a conversation for BAPPS members and allies about Blackness and how the construction of this racial identity impacts policy. We will provide dinner to participants. Given the subject matter, we would like to provide cultural foods. Ideally, we would ilke to partner with the Student Engagement and Belonging team to host this event which could result in financial support, however, their support is not guaranteed. Ideally, this event will also be in partnership with The African Perspective (TAP). We were unable to host this event last quarter due to scheduling conflicts with our panelists, but we will be hosting it this quarter.",50,"TRUE","FALSE","FALSE","FALSE",615,9,6309.54,NA,10,15963.24,16138.22,NA,615
"82","Black Action in Public Policy Studies (BAPPS)","speaker","supplies","Identity Policy Series","We will host a community-focused dialogue on the Construction of Black Identity as part of Black History Month Programming. This event will bring in experts from the University community on race and diasporic studies who will present on the construction and presentation of Black identities from a global perspective. Ultimately, this event is to be a conversation for BAPPS members and allies about Blackness and how the construction of this racial identity impacts policy. We will provide dinner to participants. Given the subject matter, we would like to provide cultural foods. Ideally, we would ilke to partner with the Student Engagement and Belonging team to host this event which could result in financial support, however, their support is not guaranteed. Ideally, this event will also be in partnership with The African Perspective (TAP). We were unable to host this event last quarter due to scheduling conflicts with our panelists, but we will be hosting it this quarter.",50,"TRUE","FALSE","FALSE","FALSE",615,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"83","Black Action in Public Policy Studies (BAPPS)","speaker","equipment","Identity Policy Series","We will host a community-focused dialogue on the Construction of Black Identity as part of Black History Month Programming. This event will bring in experts from the University community on race and diasporic studies who will present on the construction and presentation of Black identities from a global perspective. Ultimately, this event is to be a conversation for BAPPS members and allies about Blackness and how the construction of this racial identity impacts policy. We will provide dinner to participants. Given the subject matter, we would like to provide cultural foods. Ideally, we would ilke to partner with the Student Engagement and Belonging team to host this event which could result in financial support, however, their support is not guaranteed. Ideally, this event will also be in partnership with The African Perspective (TAP). We were unable to host this event last quarter due to scheduling conflicts with our panelists, but we will be hosting it this quarter.",50,"TRUE","FALSE","FALSE","FALSE",615,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"84","Black Action in Public Policy Studies (BAPPS)","speaker","services","Identity Policy Series","We will host a community-focused dialogue on the Construction of Black Identity as part of Black History Month Programming. This event will bring in experts from the University community on race and diasporic studies who will present on the construction and presentation of Black identities from a global perspective. Ultimately, this event is to be a conversation for BAPPS members and allies about Blackness and how the construction of this racial identity impacts policy. We will provide dinner to participants. Given the subject matter, we would like to provide cultural foods. Ideally, we would ilke to partner with the Student Engagement and Belonging team to host this event which could result in financial support, however, their support is not guaranteed. Ideally, this event will also be in partnership with The African Perspective (TAP). We were unable to host this event last quarter due to scheduling conflicts with our panelists, but we will be hosting it this quarter.",50,"TRUE","FALSE","FALSE","FALSE",615,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"85","Black Action in Public Policy Studies (BAPPS)","speaker","miscellaneous","Identity Policy Series","We will host a community-focused dialogue on the Construction of Black Identity as part of Black History Month Programming. This event will bring in experts from the University community on race and diasporic studies who will present on the construction and presentation of Black identities from a global perspective. Ultimately, this event is to be a conversation for BAPPS members and allies about Blackness and how the construction of this racial identity impacts policy. We will provide dinner to participants. Given the subject matter, we would like to provide cultural foods. Ideally, we would ilke to partner with the Student Engagement and Belonging team to host this event which could result in financial support, however, their support is not guaranteed. Ideally, this event will also be in partnership with The African Perspective (TAP). We were unable to host this event last quarter due to scheduling conflicts with our panelists, but we will be hosting it this quarter.",50,"TRUE","FALSE","FALSE","FALSE",615,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"86","Black Action in Public Policy Studies (BAPPS)","speaker","refreshments","Black Policy Review (BPR) Publication","The Black Policy Review is a student-run publication housed in BAPPS that aims to uplift Black voices and Black stories. Our publication exists to center Black people in policy discussions and conversations. We will feature over 20 articles, including photojournalism submissions, that cover a variety of topics internationally and domestically. Our submissions include policy analyses, op-eds, and research analyses. Our authors undergo a rigorous editorial process that begins at the start of April. Our team of designers then completes the final version of the publications. We utilize a local organization, Chicago Printworks, to produce the actual publication. The following pricing information is based on a direct quote provided by the business.",NA,"TRUE","FALSE","FALSE","FALSE",824,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"87","Black Action in Public Policy Studies (BAPPS)","speaker","supplies","Black Policy Review (BPR) Publication","The Black Policy Review is a student-run publication housed in BAPPS that aims to uplift Black voices and Black stories. Our publication exists to center Black people in policy discussions and conversations. We will feature over 20 articles, including photojournalism submissions, that cover a variety of topics internationally and domestically. Our submissions include policy analyses, op-eds, and research analyses. Our authors undergo a rigorous editorial process that begins at the start of April. Our team of designers then completes the final version of the publications. We utilize a local organization, Chicago Printworks, to produce the actual publication. The following pricing information is based on a direct quote provided by the business.",NA,"TRUE","FALSE","FALSE","FALSE",824,9,6309.54,NA,10,15963.24,16138.22,NA,824
"88","Black Action in Public Policy Studies (BAPPS)","speaker","equipment","Black Policy Review (BPR) Publication","The Black Policy Review is a student-run publication housed in BAPPS that aims to uplift Black voices and Black stories. Our publication exists to center Black people in policy discussions and conversations. We will feature over 20 articles, including photojournalism submissions, that cover a variety of topics internationally and domestically. Our submissions include policy analyses, op-eds, and research analyses. Our authors undergo a rigorous editorial process that begins at the start of April. Our team of designers then completes the final version of the publications. We utilize a local organization, Chicago Printworks, to produce the actual publication. The following pricing information is based on a direct quote provided by the business.",NA,"TRUE","FALSE","FALSE","FALSE",824,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"89","Black Action in Public Policy Studies (BAPPS)","speaker","services","Black Policy Review (BPR) Publication","The Black Policy Review is a student-run publication housed in BAPPS that aims to uplift Black voices and Black stories. Our publication exists to center Black people in policy discussions and conversations. We will feature over 20 articles, including photojournalism submissions, that cover a variety of topics internationally and domestically. Our submissions include policy analyses, op-eds, and research analyses. Our authors undergo a rigorous editorial process that begins at the start of April. Our team of designers then completes the final version of the publications. We utilize a local organization, Chicago Printworks, to produce the actual publication. The following pricing information is based on a direct quote provided by the business.",NA,"TRUE","FALSE","FALSE","FALSE",824,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"90","Black Action in Public Policy Studies (BAPPS)","speaker","miscellaneous","Black Policy Review (BPR) Publication","The Black Policy Review is a student-run publication housed in BAPPS that aims to uplift Black voices and Black stories. Our publication exists to center Black people in policy discussions and conversations. We will feature over 20 articles, including photojournalism submissions, that cover a variety of topics internationally and domestically. Our submissions include policy analyses, op-eds, and research analyses. Our authors undergo a rigorous editorial process that begins at the start of April. Our team of designers then completes the final version of the publications. We utilize a local organization, Chicago Printworks, to produce the actual publication. The following pricing information is based on a direct quote provided by the business.",NA,"TRUE","FALSE","FALSE","FALSE",824,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"91","Black Action in Public Policy Studies (BAPPS)","cultural","refreshments","Graduation Celebration","We intend to host a second-year graduting student dinner at a Black owned restaurant to celebrate and honor our members. This will be a time for students to receive graduation stoles, share memories from the past two years, and come together as a community prior to matriculation. This event will be open to all second year BAPPS members from all degree programs at Harris. The following pricing is based on quotes recieved from various restauants for a 2 hour dinner. On average, based on the quotes we have recieved, we are expecting to spend $60 per person but are actively working to secure donations from potential restaurants to reduce this cost. Please find some of the quotes below. In the event that BAPPS is able to secure funding for this dinner, this money will be used to purchase stoles. In the past, ODI purchased stoles but now that the office is combined with student engagement, it is unclear what will be available to us. Last year, stoles were $700 and purchased from a local Black vendor.",30,"TRUE","FALSE","FALSE","FALSE",1800,9,6309.54,NA,10,15963.24,16138.22,NA,1800
"92","Black Action in Public Policy Studies (BAPPS)","cultural","supplies","Graduation Celebration","We intend to host a second-year graduting student dinner at a Black owned restaurant to celebrate and honor our members. This will be a time for students to receive graduation stoles, share memories from the past two years, and come together as a community prior to matriculation. This event will be open to all second year BAPPS members from all degree programs at Harris. The following pricing is based on quotes recieved from various restauants for a 2 hour dinner. On average, based on the quotes we have recieved, we are expecting to spend $60 per person but are actively working to secure donations from potential restaurants to reduce this cost. Please find some of the quotes below. In the event that BAPPS is able to secure funding for this dinner, this money will be used to purchase stoles. In the past, ODI purchased stoles but now that the office is combined with student engagement, it is unclear what will be available to us. Last year, stoles were $700 and purchased from a local Black vendor.",30,"TRUE","FALSE","FALSE","FALSE",1800,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"93","Black Action in Public Policy Studies (BAPPS)","cultural","equipment","Graduation Celebration","We intend to host a second-year graduting student dinner at a Black owned restaurant to celebrate and honor our members. This will be a time for students to receive graduation stoles, share memories from the past two years, and come together as a community prior to matriculation. This event will be open to all second year BAPPS members from all degree programs at Harris. The following pricing is based on quotes recieved from various restauants for a 2 hour dinner. On average, based on the quotes we have recieved, we are expecting to spend $60 per person but are actively working to secure donations from potential restaurants to reduce this cost. Please find some of the quotes below. In the event that BAPPS is able to secure funding for this dinner, this money will be used to purchase stoles. In the past, ODI purchased stoles but now that the office is combined with student engagement, it is unclear what will be available to us. Last year, stoles were $700 and purchased from a local Black vendor.",30,"TRUE","FALSE","FALSE","FALSE",1800,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"94","Black Action in Public Policy Studies (BAPPS)","cultural","services","Graduation Celebration","We intend to host a second-year graduting student dinner at a Black owned restaurant to celebrate and honor our members. This will be a time for students to receive graduation stoles, share memories from the past two years, and come together as a community prior to matriculation. This event will be open to all second year BAPPS members from all degree programs at Harris. The following pricing is based on quotes recieved from various restauants for a 2 hour dinner. On average, based on the quotes we have recieved, we are expecting to spend $60 per person but are actively working to secure donations from potential restaurants to reduce this cost. Please find some of the quotes below. In the event that BAPPS is able to secure funding for this dinner, this money will be used to purchase stoles. In the past, ODI purchased stoles but now that the office is combined with student engagement, it is unclear what will be available to us. Last year, stoles were $700 and purchased from a local Black vendor.",30,"TRUE","FALSE","FALSE","FALSE",1800,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"95","Black Action in Public Policy Studies (BAPPS)","cultural","miscellaneous","Graduation Celebration","We intend to host a second-year graduting student dinner at a Black owned restaurant to celebrate and honor our members. This will be a time for students to receive graduation stoles, share memories from the past two years, and come together as a community prior to matriculation. This event will be open to all second year BAPPS members from all degree programs at Harris. The following pricing is based on quotes recieved from various restauants for a 2 hour dinner. On average, based on the quotes we have recieved, we are expecting to spend $60 per person but are actively working to secure donations from potential restaurants to reduce this cost. Please find some of the quotes below. In the event that BAPPS is able to secure funding for this dinner, this money will be used to purchase stoles. In the past, ODI purchased stoles but now that the office is combined with student engagement, it is unclear what will be available to us. Last year, stoles were $700 and purchased from a local Black vendor.",30,"TRUE","FALSE","FALSE","FALSE",1800,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"96","Black Action in Public Policy Studies (BAPPS)","cultural","refreshments","End of Year Celebration","We intend to host a final end of year celebration that includes our entire community, BAPPS members and the larger pool of Harris students. We will host a small party with very light snacks and champagne to celebrate the end of the academic year.",30,"TRUE","FALSE","FALSE","FALSE",88,9,6309.54,NA,10,15963.24,16138.22,NA,88
"97","Black Action in Public Policy Studies (BAPPS)","cultural","supplies","End of Year Celebration","We intend to host a final end of year celebration that includes our entire community, BAPPS members and the larger pool of Harris students. We will host a small party with very light snacks and champagne to celebrate the end of the academic year.",30,"TRUE","FALSE","FALSE","FALSE",88,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"98","Black Action in Public Policy Studies (BAPPS)","cultural","equipment","End of Year Celebration","We intend to host a final end of year celebration that includes our entire community, BAPPS members and the larger pool of Harris students. We will host a small party with very light snacks and champagne to celebrate the end of the academic year.",30,"TRUE","FALSE","FALSE","FALSE",88,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"99","Black Action in Public Policy Studies (BAPPS)","cultural","services","End of Year Celebration","We intend to host a final end of year celebration that includes our entire community, BAPPS members and the larger pool of Harris students. We will host a small party with very light snacks and champagne to celebrate the end of the academic year.",30,"TRUE","FALSE","FALSE","FALSE",88,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"100","Black Action in Public Policy Studies (BAPPS)","cultural","miscellaneous","End of Year Celebration","We intend to host a final end of year celebration that includes our entire community, BAPPS members and the larger pool of Harris students. We will host a small party with very light snacks and champagne to celebrate the end of the academic year.",30,"TRUE","FALSE","FALSE","FALSE",88,9,6309.54,NA,10,15963.24,16138.22,NA,NA
"101","Behavioral Economics in Public Policy","speaker","refreshments","Behavioral Science Mini Challenge","One afternoon event, respond to prompt and have 4 hours to respond to a prompt. Team can be formed on the spot, 2 slide pitch deck and quick verbal presentation. We will be having 3 judges, experts in their field to determine the top 3 contestants",45,"FALSE","FALSE","FALSE","FALSE",410,3,698.56,NA,4,0,350,NA,250
"102","Behavioral Economics in Public Policy","speaker","supplies","Behavioral Science Mini Challenge","One afternoon event, respond to prompt and have 4 hours to respond to a prompt. Team can be formed on the spot, 2 slide pitch deck and quick verbal presentation. We will be having 3 judges, experts in their field to determine the top 3 contestants",45,"FALSE","FALSE","FALSE","FALSE",410,3,698.56,NA,4,0,350,NA,10
"103","Behavioral Economics in Public Policy","speaker","equipment","Behavioral Science Mini Challenge","One afternoon event, respond to prompt and have 4 hours to respond to a prompt. Team can be formed on the spot, 2 slide pitch deck and quick verbal presentation. We will be having 3 judges, experts in their field to determine the top 3 contestants",45,"FALSE","FALSE","FALSE","FALSE",410,3,698.56,NA,4,0,350,NA,NA
"104","Behavioral Economics in Public Policy","speaker","services","Behavioral Science Mini Challenge","One afternoon event, respond to prompt and have 4 hours to respond to a prompt. Team can be formed on the spot, 2 slide pitch deck and quick verbal presentation. We will be having 3 judges, experts in their field to determine the top 3 contestants",45,"FALSE","FALSE","FALSE","FALSE",410,3,698.56,NA,4,0,350,NA,NA
"105","Behavioral Economics in Public Policy","speaker","miscellaneous","Behavioral Science Mini Challenge","One afternoon event, respond to prompt and have 4 hours to respond to a prompt. Team can be formed on the spot, 2 slide pitch deck and quick verbal presentation. We will be having 3 judges, experts in their field to determine the top 3 contestants",45,"FALSE","FALSE","FALSE","FALSE",410,3,698.56,NA,4,0,350,NA,150
"106","Behavioral Economics in Public Policy","speaker","refreshments","BS in Academia panel","A panel on behavioral science in academia and a chance to speak with some prominent UChicago faculty members about their experience and research in the field which will provide a networking opportunity for students interested in the field.",22.5,"FALSE","FALSE","TRUE","FALSE",95,3,698.56,NA,4,0,350,NA,90
"107","Behavioral Economics in Public Policy","speaker","supplies","BS in Academia panel","A panel on behavioral science in academia and a chance to speak with some prominent UChicago faculty members about their experience and research in the field which will provide a networking opportunity for students interested in the field.",22.5,"FALSE","FALSE","TRUE","FALSE",95,3,698.56,NA,4,0,350,NA,5
"108","Behavioral Economics in Public Policy","speaker","equipment","BS in Academia panel","A panel on behavioral science in academia and a chance to speak with some prominent UChicago faculty members about their experience and research in the field which will provide a networking opportunity for students interested in the field.",22.5,"FALSE","FALSE","TRUE","FALSE",95,3,698.56,NA,4,0,350,NA,NA
"109","Behavioral Economics in Public Policy","speaker","services","BS in Academia panel","A panel on behavioral science in academia and a chance to speak with some prominent UChicago faculty members about their experience and research in the field which will provide a networking opportunity for students interested in the field.",22.5,"FALSE","FALSE","TRUE","FALSE",95,3,698.56,NA,4,0,350,NA,NA
"110","Behavioral Economics in Public Policy","speaker","miscellaneous","BS in Academia panel","A panel on behavioral science in academia and a chance to speak with some prominent UChicago faculty members about their experience and research in the field which will provide a networking opportunity for students interested in the field.",22.5,"FALSE","FALSE","TRUE","FALSE",95,3,698.56,NA,4,0,350,NA,NA
"111","Behavioral Economics in Public Policy",NA,"refreshments",NA,NA,NA,NA,NA,"With Booth school and undergrad division",NA,95,3,698.56,NA,4,0,350,NA,90
"112","Behavioral Economics in Public Policy",NA,"supplies",NA,NA,NA,NA,NA,"With Booth school and undergrad division",NA,95,3,698.56,NA,4,0,350,NA,5
"113","Behavioral Economics in Public Policy",NA,"equipment",NA,NA,NA,NA,NA,"With Booth school and undergrad division",NA,95,3,698.56,NA,4,0,350,NA,NA
"114","Behavioral Economics in Public Policy",NA,"services",NA,NA,NA,NA,NA,"With Booth school and undergrad division",NA,95,3,698.56,NA,4,0,350,NA,NA
